Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
"Shalini Jain, Ph.D.","Postdoctoral fellow, University of Texas-MD Anderson Cancer Center, Houston, Texas",57,299,18386,University of Texas-MD Anderson Cancer Center,Cancer Biology,Immunotherapy
Shalini Kumari,"Department of Materials Science and Engineering, The Pennsylvania State University",22,34,1687,The Pennsylvania State University,Materials Science,Energy Storage
Shalini Sharma,Global Institute for Circular Economy and Sustainable Development Goals,42,152,8913,Global Institute for Circular Economy and Sustainable Development Goals,Circular Economy,Sustainable Development Goals
shalini yadav,serach engine optimization,40,82,9837,Serach Engine Optimization,Search Engine Optimization,Digital Marketing
Shambhunath Barman,"Assistant Professor of Mechanical Engineering, NIT Sikkim, India",3,1,52,NIT Sikkim,Mechanical Engineering,Renewable Energy Systems
Dr. SHAMBHU SHARAN KUMAR,"Asst. Professor (Sr. Grade), Birla Institute of Technology, Mesra, Ranchi",34,142,5643,Birla Institute of Technology,Mesra,Ranchi
Shambhu Upadhyaya,"Professor of Computer Science and Engineering, University at Buffalo",44,158,8843,University at Buffalo,Cybersecurity,Trustworthy Computing
BV Sankar,University of Florida,48,149,8008,University of Florida,Operations Research,Supply Chain Management
Krishnakumari Shanmugasundaram,Department of Biochemistry,22,43,1923,University of Madras,Biochemistry,Enzymology
Santanu Bhattacharya,Professor,81,289,20888,Indian Institute of Science,Chemical Biology,Supramolecular Chemistry
Santanu Kundu,Mississippi State University,26,46,2092,Mississippi State University,Polymer Science,Materials Engineering
Shanti Swarup,"Adjunct Professor, North Dakota State University",31,70,4326,North Dakota State University,Polymer Chemistry,Materials Science
K.Shanti Swarup,"Professor, Department of Electrical Engineering, Indian Institute of Technology Madras",41,136,6656,Indian Institute of Technology Madras,Power Systems,Renewable Energy Integration
Sharad Gupta,Qualcomm,20,58,6122,Qualcomm,Wireless Communication,Signal Processing
Sharad Kumar,"Centre for Cancer Biology, University of South Australia, Adelaide, Australia",104,254,65424,University of South Australia,Cancer Biology,Cell Death Mechanisms
"Sharanya Sarkar, Ph.D.","Dartmouth College, US",7,7,247,Dartmouth College,Artificial Intelligence,Human-Computer Interaction
Dr. Sharath kandambeth,"Assistant Professor, Shiv Nadar Institution of Eminence Deemed to be University",40,43,15080,Shiv Nadar Institution of Eminence Deemed to be University,Materials Chemistry,Porous Materials
Sharmistha Mitra,UT Southwestern Medical Center,10,11,499,UT Southwestern Medical Center,Cancer Biology,Epigenetics
Shankar Sastry,University of California,142,603,121661,University of California,Control Systems,Networked Systems
Shashi Bhushan Pandey,"ARIES, Manora Peak, Nainital, Uttarakhand, India, 263129",47,116,14172,Aryabhatta Research Institute of Observational Sciences (ARIES),Astronomy,Astrophysics
Dr. Shashi Bhushan Arya [BTech. (NIT) & PhD IIT Bombay)],"National Institute of Technology Karnataka,Surathkal Mangalore",18,31,990,National Institute of Technology Karnataka,Surathkal,Renewable Energy Systems
shashi kant sharma,"Professor of Chemistry, Himachal Pradesh University",32,120,5425,Himachal Pradesh University,Chemistry,Environmental Chemistry
Shashi Kant Singh,Post Doc,10,10,812,Post Doc,Artificial Intelligence,Data Science
Shashi Shekhar,"McKnight Distinguished University Professor of Computer Science, University of Minnesota",74,341,27237,University of Minnesota,Spatial Databases,Geographic Information Systems
shashikant pandey,"professor,department of anatomy, institute of medical sciences, banaras hindu university",4,4,171,Banaras Hindu University,Anatomy,Medical Sciences
Shaurya Bhatt,NIT UTTARAKHAND,4,3,96,NIT Uttarakhand,Renewable Energy Systems,Power Electronics
Sheetal J Patil,Dept. of Electrical Engg. IIT Bombay,22,45,1887,Indian Institute of Technology Bombay,Power Systems,Renewable Energy Integration
Sheikh Nazir Ahmad,"Professor of Mechanical Engineering, National Institute of Technology Srinagar Kashmir-190006",12,14,545,National Institute of Technology Srinagar,Mechanical Engineering,Thermal Systems
SHELLY VERMA,Doon University,6,5,331,Doon University,Environmental Science,Climate Change
Sherin zafar,Jamia Hamdard,15,22,830,Jamia Hamdard,Pharmaceutical Sciences,Drug Delivery Systems
"Shibli Nisar, PhD","Associate Professor - National University of Sciences and Technology, (NUST)",13,19,634,National University of Sciences and Technology (NUST),Signal Processing,Wireless Communication
SHIB SANKAR SAHA,"Professor, KGEC",11,12,368,KGEC,Power Systems,Renewable Energy
Shibu John,"Staff Bioinformatics Scientist, Illumina Cambridge Ltd",13,14,1281,Illumina Cambridge Ltd,Bioinformatics,Genomics
Shijo Thomas,NIT CALICUT,15,21,834,NIT Calicut,Structural Engineering,Concrete Technology
Shikha Bhardwaj,IIM Sambalpur,10,10,275,IIM Sambalpur,Organizational Behavior,Human Resource Management
Shikha Jain,"Principal Research Engineer, Western Digital",47,180,10376,Western Digital,Data Storage Systems,Memory Architecture
Shilpa G K  Bhat,Yenepoya University,2,2,28,Yenepoya University,Pharmacology,Toxicology
Shilpi Sharma,"Department of Biochemical Engineering and Biotechnology, Indian Institute of Technology Delhi, India",32,80,4013,Indian Institute of Technology Delhi,Biochemical Engineering,Biotechnology
Shinoj V K,"Union Christian College, Aluva, Kerala",12,14,392,Mahatma Gandhi University,Environmental Chemistry,Analytical Chemistry
Shirish H Sonawane,Professor Chemical Engineering National Institute of Technology Warangal Telangana 506004,67,200,13029,National Institute of Technology Warangal,Chemical Engineering,Process Optimization
Shirshendu Ganguli,"Associate Professor, International Management Institute Bhubaneswar",18,22,2028,International Management Institute Bhubaneswar,Organizational Behavior,Strategic Management
Shishir Kumar Sahu,NIT Rourkela,25,48,1961,NIT Rourkela,Power Systems,Renewable Energy
Dr Shiv Kumar Sarin,Institute of Liver and Biliary Sciences,119,637,75683,Institute of Liver and Biliary Sciences,Hepatology,Liver Transplantation
Pramod Patil,"Pro Vice-Chancellor, Shivaji University, Kolhapur",93,537,33256,Shivaji University,Environmental Science,Sustainable Development
Raghupathy Sivakumar,"Wayne J. Holman Chair Professor, School of Electrical and Computer Engineering, Georgia Tech",54,116,11753,Georgia Institute of Technology,Wireless Networks,Internet of Things (IoT)
Shivanand (Nandan) P. Lad,Duke University,55,154,10433,Duke University,Neurosurgery,Pain Management
shivangi agarwal,Rush University Medical Center,14,18,790,Rush University Medical Center,Neuroscience,Neurodegenerative Diseases
Shivani Arora Mittal,Sir Ganga Ram Hospital,9,9,405,Sir Ganga Ram Hospital,Obstetrics and Gynecology,Reproductive Medicine
Prof Shivani Bhardwaj Mishra PhD FRSC,Academy of Nanotechnology and Waste Water Innovations,40,103,5962,Academy of Nanotechnology and Waste Water Innovations,Nanotechnology,Waste Water Treatment
Shivendra Kumar Pandey,Indian Institute of Management Rohtak,14,23,1376,Indian Institute of Management Rohtak,Organizational Behavior,Human Resource Management
Shobha Gupta Gawri,"Pt. Ravishankar Shukla University, National Cave Research and Protection Organization, India",42,153,6532,Pt. Ravishankar Shukla University,Cave Research,Environmental Protection
Kiran K. Soma,"Professor, University of British Columbia (UBC), Vancouver, Canada",60,127,9913,University of British Columbia (UBC),Behavioral Neuroendocrinology,Animal Communication
Shovan Bhaumik,"Associate Professor, Indian Institute of Technology Patna",19,34,1222,Indian Institute of Technology Patna,Power Electronics,Renewable Energy Systems
Shovan Dutta,"Cleveland Clinic, Cleveland, Ohio",3,2,128,Cleveland Clinic,Cancer Biology,Immunotherapy
Dr. Shovan Roy,Dr. B.C. Roy Engineering College,2,1,24,Dr. B.C. Roy Engineering College,Renewable Energy,Power Systems
"Shovon Bhattacharjee, PhD",UNSW Sydney,18,21,1140,UNSW Sydney,Quantum Computing,Nanotechnology
shrabani barman,Murshidabad University,2,0,13,Murshidabad University,Environmental Science,Sustainable Development
Shraddha Sharma,"Associate Professor of Chemistry, Lakshmi Narain college of technology and Excellence",21,56,2417,Lakshmi Narain College of Technology and Excellence,Chemistry,Material Science
Shreya Bhattacharya,University of Pennsylvania,6,6,220,University of Pennsylvania,Neuroscience,Cognitive Psychology
Jain Shruti,"Professor, Department of ECE, Jaypee University of Information Technology, Solan",24,82,2799,Jaypee University of Information Technology,Signal Processing,Communication Systems
Shruti R. Kulkarni,Oak Ridge National Laboratory,11,14,1436,Oak Ridge National Laboratory,Materials Science,Energy Storage
Dr.Shruti Patil,"Associate Professor @ AI&ML Dept, Symbiosis Institute of Technology",29,58,2820,Symbiosis Institute of Technology,Artificial Intelligence,Machine Learning
PT. Shubham Pandey,Footwear And Readymade Garments Owner( Business Tycon ),19,25,1120,Footwear And Readymade Garments Owner (Business Tycon),Fashion Technology,Sustainable Apparel Production
Subhankar Roy,Tenure Track Assistant Professor (RTT) at University of Bergamo,13,18,1636,University of Bergamo,Machine Learning,Data Mining
Shubhrata Gupta,"Department of Electrical Engineering, National Institute of Technology Raipur",17,32,2056,National Institute of Technology Raipur,Electrical Engineering,Power Systems
Dr. Shuchi Sharma,"Goswami Ganesh Dutt Sanatan Dharam College, Hariana",9,8,255,Panjab University,Environmental Science,Sustainable Development
Subhendu Sarkar,"Dept. of Physics, Indian Institute of Technology Ropar",24,38,4695,Indian Institute of Technology Ropar,Condensed Matter Physics,Quantum Materials
shweta jain,"Research Scholar, Delhi School of Economics, Delhi University",55,304,28574,Delhi University,Economics,Development Studies
Shyam Kumar Masakapalli,"Indian Institute of Technology, Mandi",21,32,1745,Indian Institute of Technology Mandi,Systems Biology,Metabolic Engineering
Shyam Das Kapoor,"Retired Professor of English, Jai Narain Vyas University Jodhpur",3,2,63,Jai Narain Vyas University,English Literature,Literary Criticism
Dr Shyamapada Mandal,"Professor and (former) Head, Department of Zoology, University of Gour Banga, Malda",26,54,5309,University of Gour Banga,Zoology,Environmental Biology
Shyni Anilkumar,"Assistant Professor, Department of Architecture and Planning , NIT Calicut, Kerala, India",2,1,41,NIT Calicut,Urban Planning,Sustainable Architecture
siba sankar mahapatra,National Institute of Technology,68,290,19132,National Institute of Technology,Power Systems,Renewable Energy
Siby Abraham,"NMIMS Deemed to be University, Mumbai",9,9,497,NMIMS Deemed to be University,Artificial Intelligence,Data Science
M Siddhartha Bhatt,"Director (Retired) from Central Power Research Institute, Bengaluru, India",17,28,851,Central Power Research Institute,Power Systems,Electrical Engineering
Siddharth Narayanan,FutureHouse,154,521,87467,FutureHouse,Artificial Intelligence,Human-Computer Interaction
Siddhartha Suman,"Assistant Professor, Semiconductor Manufacturing, NAMTECH",6,6,119,NAMTECH,Semiconductor Manufacturing,Advanced Materials
"Siddhartha K Bhaumik, Ph.D.","Research Associate, Emory Univerisity",15,20,1192,Emory University,Neuroscience,Molecular Biology
SIDDHARTHA CHAUHAN,NIT Hamirpur,21,27,1409,NIT Hamirpur,Renewable Energy Systems,Power Electronics
Siddhartha Sankar Das,Associate Professor,30,117,34612,University of Hyderabad,Condensed Matter Physics,Materials Science
Siddhartha Kumar Mishra,"Professor - Biochemistry, University of Lucknow, Lucknow (U.P.) India",27,46,3411,University of Lucknow,Biochemistry,Molecular Biology
Siddhartha Lal,"Department of Physical Sciences, Indian Institute of Science Education and Research, Kolkata",12,20,739,Indian Institute of Science Education and Research,Kolkata,Astrophysics
Siddhartha Sankar Nath,"Assam University, Silchar",23,49,2302,Assam University,Silchar,Environmental Science
Siddharth Mishra-Sharma,"Anthropic, MIT",23,36,3365,Anthropic,Artificial Intelligence,Machine Learning
Chintalapudi Naga Siva Sai,Velagapudi Ramakrishna Siddhartha Engineering College,1,0,2,Velagapudi Ramakrishna Siddhartha Engineering College,Signal Processing,Wireless Communication
Sahil Sidheekh,"Ph.D. Student - The University of Texas at Dallas. Ex-Verisk AI, Ex-IIT Ropar",6,3,125,The University of Texas at Dallas,Artificial Intelligence,Data Science
Sima Ghosh,Associate Professor in Civil engineering,18,30,969,Indian Institute of Technology (IIT) Kharagpur,Structural Engineering,Geotechnical Engineering
Prof. (Dr.) Rakesh K Sindhu,"School of Pharmacy, Sharda University, Gr Noida, UP, India",23,43,1702,Sharda University,Pharmaceutical Sciences,Drug Delivery Systems
"Dr. Jit Sinha, Ph.D.","Senior Engineer, VDDV (EV Battery CFD) at TCS-General Motors",3,2,57,TCS-General Motors,EV Battery CFD,Thermal Management Systems
Sishaj P Simon,"Professor, Department of Electrical and Electronics Engineering,National Institute of Technology",34,77,4671,National Institute of Technology,Power Systems,Renewable Energy
SITA RAM SHARMA,DEPARTMENT OF CHEMISTRY,24,75,3617,Banaras Hindu University,Organic Chemistry,Polymer Chemistry
Sk. Safique Ahmad,"Associate Professor, Discipline of Mathematics, IIT Indore",8,6,189,IIT Indore,Mathematical Modeling,Fluid Dynamics
Sk. Sarif Hassan,"Assistant Professor, Department of Mathematics, Pingla Thana Mahavidyalaya, West Bengal, India",22,40,2067,Pingla Thana Mahavidyalaya,Mathematics,Applied Mathematics
Dr Smaraki Mohanty,Associate professor,3,1,417,Indian Institute of Management Indore,Organizational Behavior,Human Resource Management
Smita Darmora,Argonne National Laboratory,210,821,189896,Argonne National Laboratory,Materials Science,Energy Storage
Ashwini Agrawal,Indian Institute of Technology Delhi,36,89,4462,Indian Institute of Technology Delhi,Computer Vision,Machine Learning
Smita Gupta,D S Kothari postdoctoral fellow,19,39,1633,University of Delhi,Condensed Matter Physics,Nanomaterials
Smitha Sundareswaran,"Meta, Microsoft, Google, Penn State University",16,17,1419,Meta,Human-Computer Interaction,Augmented Reality
Prof. Smita Srivastava,Indian Institute of Technology Madras,20,27,1889,Indian Institute of Technology Madras,Control Systems,Robotics
Smriti Sharma,Newcastle University,16,16,947,Newcastle University,Development Economics,Gender Inequality
SNEHA A/P MURUGAN,UNIVERSITI KEBANGSAAN MALAYSIA,8,7,314,UNIVERSITI KEBANGSAAN MALAYSIA,Environmental Science,Public Health
Snigdha Maiti,"Postdoctoral Research Associate, St. Jude Children's Research Hospital",6,4,108,St. Jude Children's Research Hospital,Cancer Biology,Epigenetics
Snigdha Thakur,Indian Institute of Science Education and Research Bhopal,18,23,855,Indian Institute of Science Education and Research Bhopal,Chemical Biology,Organic Synthesis
Sohini Bhattacharyya,"Research Scientist, Rice University",18,23,1753,Rice University,Materials Science,Nanotechnology
Som Sekhar Bhattacharyya,"Professor, Indian Institute of Management, Nagpur",30,75,3473,Indian Institute of Management Nagpur,Strategic Management,Innovation and Entrepreneurship
Soma Mishra,"Assistant Professor, MIT-World Peace University, Pune, Maharashtra",3,2,135,MIT-World Peace University,Artificial Intelligence,Data Science
